22:15:06.790 [main] INFO  client.ClientLogger [INFO ] - Starting TCP client...
22:15:06.791 [main] INFO  client.ClientLogger [INFO ] - Connecting to the socket
22:15:06.797 [main] INFO  client.ClientLogger [INFO ] - Connected to server localhost:8585
22:15:06.798 [main] INFO  client.ClientLogger [INFO ] - -------------------Initializing the key-value store with 10 pairs---------------
22:15:06.798 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.798 [main] INFO  client.ClientLogger [INFO ] - PUT: Key=key1, Value=1
22:15:06.809 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: key1 Value: 1
22:15:06.809 [main] INFO  client.ClientLogger [INFO ] - Response: Inserted Key & value using PUT: Key: key1 Value: 1
22:15:06.809 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.809 [main] INFO  client.ClientLogger [INFO ] - PUT: Key=key2, Value=2
22:15:06.810 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: key2 Value: 2
22:15:06.810 [main] INFO  client.ClientLogger [INFO ] - Response: Inserted Key & value using PUT: Key: key2 Value: 2
22:15:06.810 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.810 [main] INFO  client.ClientLogger [INFO ] - PUT: Key=key3, Value=3
22:15:06.810 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: key3 Value: 3
22:15:06.810 [main] INFO  client.ClientLogger [INFO ] - Response: Inserted Key & value using PUT: Key: key3 Value: 3
22:15:06.810 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.811 [main] INFO  client.ClientLogger [INFO ] - PUT: Key=key4, Value=4
22:15:06.811 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: key4 Value: 4
22:15:06.811 [main] INFO  client.ClientLogger [INFO ] - Response: Inserted Key & value using PUT: Key: key4 Value: 4
22:15:06.811 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.811 [main] INFO  client.ClientLogger [INFO ] - PUT: Key=key5, Value=5
